title,release_date,vote_average,runtime,genre_names,,,title,release_date,vote_average,runtime,genre_names
Return of the Curse,2006-12-31,0.0,95,Horror,,,,,,,
Still Life,2015-10-01,0.0,15,"Horror, Romance",,,,,,,
Terror Pizza,2015-12-19,0.0,11,Horror,,,,,,,
333,2015-10-28,5.0,5,"Horror, Thriller",,,,,,,
Distorsión,2015-10-20,4.0,14,Horror,,,,,,,
Callings,2016-02-28,3.5,85,Horror,,,,,,,
Ezan,2015-05-01,5.5,80,Horror,,,,,,,
Daddy's Girl,2016-05-12,0.0,13,"Horror, Thriller",,,,,,,
Natás is Satan,1977-01-02,0.0,89,"Crime, Drama, Horror",,,,,,,
Beware: Bed Sins,1985-09-19,6.0,108,"Crime, Drama, Horror, Mystery, Romance, Thriller",,,,,,,
Nutsack Pt. 1: Lucifer's Cosmonauts,2016-05-12,0.0,49,Horror,,,,,,,
Inergia: sintiencia al vacío,2015-11-03,0.0,19,Horror,,,,,,,
"Don't Fall Asleep, Motherf*cker",2015-10-18,0.0,20,Horror,,,,,,,
Paranoia,2016-05-24,8.0,18,"Horror, Thriller",,,,,,,
O Monstro Legume do Espaço 2,2006-01-02,0.0,70,"Horror, Science Fiction",,,,,,,
Ám Ảnh,2016-02-10,0.0,90,"Action, Drama, Horror",,,,,,,
Radha,2016-08-19,0.0,22,"Drama, Fantasy, Horror",,,,,,,
L'invasion des succubes,2006-01-01,0.0,0,"Comedy, Horror",,,,,,,
Plena Stellarum,2016-03-06,0.0,12,"Animation, Horror",,,,,,,
Thе Cursе оf Slееping Bеаutу,2016-04-08,6.0,0,"Fantasy, Horror, Mystery, Thriller",,,,,,,
Prelude: A Love Story,2017-01-01,0.0,7,Horror,,,,,,,
The Silence,2015-01-19,0.0,35,"Horror, Science Fiction",,,,,,,
Zombies 1985,2015-12-14,0.0,16,"Horror, Music",,,,,,,
Strange Battle,2016-01-22,0.0,90,"Horror, Thriller",,,,,,,
Possessed,2013-11-14,7.0,0,"Comedy, Horror",,,,,,,
School Girl: Harakiri,1990-01-01,4.6,45,Horror,,,,,,,
White Clothing: Harakiri,1990-01-01,4.7,45,Horror,,,,,,,
Mistress of Seduction,2000-05-23,1.5,83,Horror,,,,,,,
Hot Vampire Nights,2000-05-23,1.0,57,Horror,,,,,,,
Reggaetón Zombie,2012-01-15,0.0,20,Horror,,,,,,,
Break My Bones,2016-07-19,0.0,22,"Drama, Horror, Thriller",,,,,,,
Whispers of Fear,1976-01-01,0.0,73,Horror,,,,,,,
Campground: The Requel,2015-11-12,0.0,0,Horror,,,,,,,
Genesis,1991-05-25,0.0,4,"Drama, Horror, Science Fiction",,,,,,,
Lipstick and Blood,1984-01-01,0.0,85,"Crime, Drama, Horror",,,,,,,
"Ghost House, A True Story",1995-03-31,4.0,90,Horror,,,,,,,
The Third Face,1981-06-19,0.0,86,Horror,,,,,,,
Drunk,2016-04-24,10.0,8,Horror,,,,,,,
Bite! The Musical,2013-10-23,0.0,17,"Comedy, Horror, Music",,,,,,,
Fear Is Coming,2016-03-25,4.5,89,Horror,,,,,,,
Vampirisme,1967-10-01,7.8,12,"Comedy, Horror",,,,,,,
Turn Around When Possible,2014-05-29,5.0,7,"Drama, Horror",,,,,,,
Macabre,2015-11-15,5.8,20,Horror,,,,,,,
Dominium,2013-10-21,3.0,77,"Horror, Mystery",,,,,,,
Gore Orphanage,2015-07-21,4.0,90,Horror,,,,,,,
Skeleton Girl,2012-04-26,0.0,0,Horror,,,,,,,
Cadaverous,1993-10-31,0.0,53,Horror,,,,,,,
Invasion,2016-05-30,0.0,6,"Horror, Science Fiction",,,,,,,
Eclipse Solar,2016-01-26,0.0,28,Horror,,,,,,,
Four Roads to Hell,2007-05-31,0.0,55,"Horror, Thriller",,,,,,,
Judgement Tavern,2016-06-09,0.0,11,"Fantasy, Horror",,,,,,,
Perjanjian Syaitan,2016-04-28,4.0,85,Horror,,,,,,,
Zepo,2014-06-01,8.0,3,"Animation, Horror, Thriller",,,,,,,
Ceberrut,2016-03-04,5.3,0,Horror,,,,,,,
The Place Where the Last Man Died,2010-11-01,0.0,86,"Drama, Horror, Science Fiction",,,,,,,
A Wish for the Dead,2016-03-22,5.0,85,Horror,,,,,,,
How Olin Lost His Eye,2013-01-01,4.0,6,Horror,,,,,,,
Vampire Whores from Outer Space,2005-08-06,1.0,75,"Action, Comedy, Horror",,,,,,,
Scream at Night,2005-10-30,6.0,98,Horror,,,,,,,
Possessed,2000-08-04,0.0,0,Horror,,,,,,,
Milk & Cookies,2015-12-25,9.0,2,Horror,,,,,,,
Maxwell,2015-11-02,7.5,2,"Horror, Thriller",,,,,,,
The Virgin Corpse,2008-04-10,6.0,105,Horror,,,,,,,
Meera Jaakirathai,2016-05-27,2.7,111,"Drama, Horror",,,,,,,
La calavera negra,1960-12-14,5.0,87,"Horror, Mystery, Western",,,,,,,
Invisible Eyes,2009-08-01,0.0,107,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",,,,,,,
Pumpkin Eyes,2011-01-01,0.0,62,Horror,,,,,,,
Fatal Possession,1995-01-01,0.0,78,"Horror, Thriller",,,,,,,
Searching for Haizmann,2003-03-07,3.0,91,"Drama, Horror",,,,,,,
Torment,2014-11-21,0.0,6,"Horror, Thriller",,,,,,,
Saya: Perspective in Love,1986-10-17,7.0,102,"Crime, Horror, Thriller",,,,,,,
Terror in a Damaged Brain - Die Brut des Teufels,2015-03-23,0.0,73,Horror,,,,,,,
Damned on Earth,2014-11-13,0.0,0,"Comedy, Fantasy, Horror",,,,,,,
The Devil's Lettuce,2016-02-20,4.0,12,"Comedy, Horror",,,,,,,
Cebú,2013-03-06,0.0,12,Horror,,,,,,,
Reset,2013-09-29,5.0,17,"Horror, Science Fiction",,,,,,,
The Listing,2015-03-01,8.7,9,"Fantasy, Horror",,,,,,,
King Ripple,2015-08-21,6.0,11,"Fantasy, Horror",,,,,,,
House of Straw,2015-09-27,4.0,18,"Drama, Horror",,,,,,,
Lilith's Awakening,2016-06-11,5.7,80,"Fantasy, Horror, Thriller",,,,,,,
Dead End,1985-01-01,5.0,88,Horror,,,,,,,
Clown,2007-06-09,4.0,65,Horror,,,,,,,
View,2008-12-01,0.0,6,"Animation, Horror",,,,,,,
Lights Camera Dead,2007-10-28,0.0,77,"Comedy, Horror",,,,,,,
The Carnivore,2016-06-10,4.3,63,"Drama, Fantasy, Horror, Science Fiction",,,,,,,
Gun's Eye,1989-06-13,6.5,86,Horror,,,,,,,
Riley,2015-09-12,0.0,8,"Comedy, Horror",,,,,,,
Close Before Midnight,2015-10-26,6.4,4,Horror,,,,,,,
Driven,2015-10-01,0.0,9,"Horror, Thriller",,,,,,,
Hounds of Zaroff,2016-12-12,0.0,108,Horror,,,,,,,
Anorexia,2010-06-14,7.0,4,Horror,,,,,,,
Nostradamus,2006-05-17,0.0,90,"Drama, Horror, TV Movie",,,,,,,
Assumption,2017-03-30,6.5,13,"Horror, Mystery, Thriller",,,,,,,
Blåtur,2013-12-04,0.0,75,"Horror, Thriller",,,,,,,
Hatred,2015-11-15,9.0,15,"Drama, Horror",,,,,,,
The Phantom Hour,2017-02-17,0.0,8,"Comedy, Horror, Mystery",,,,,,,
El 7mo ángel,2000-10-29,0.0,88,"Action, Horror, Mystery",,,,,,,
A Little Change,2013-09-01,7.0,0,Horror,,,,,,,
The Man's Name is Spade,2016-05-27,0.0,19,Horror,,,,,,,
Fatal Invitation,2011-04-03,5.5,85,"Horror, Mystery, Thriller",,,,,,,
Red Cheongsam,2016-03-17,0.0,90,"Drama, Horror, Romance",,,,,,,
Las muñecas,2016-04-10,0.0,24,Horror,,,,,,,
Hellbilly,2003-01-01,0.0,47,Horror,,,,,,,
Taxi,2011-11-15,8.0,16,"Horror, Thriller",,,,,,,
Nasty,2015-10-13,0.0,15,Horror,,,,,,,
"Bye, Felicia",2015-11-15,4.0,70,Horror,,,,,,,
South of Hell Mountain,1971-01-01,0.0,87,"Horror, Western",,,,,,,
Lake Eerie,1984-06-25,7.0,80,"Comedy, Horror, Mystery",,,,,,,
Troublesome Night 8,2001-01-04,1.0,0,"Comedy, Horror",,,,,,,
Troublesome Night 11,2001-05-17,0.0,92,"Comedy, Horror",,,,,,,
Troublesome Night 13,2002-01-24,0.0,0,"Comedy, Horror",,,,,,,
In the Wake of Sirens,2012-10-16,0.0,8,Horror,,,,,,,
Under Dark,2014-12-31,0.0,3,Horror,,,,,,,
Kammaren,2007-05-04,0.0,38,Horror,,,,,,,
"March the 13th, 1941",2005-10-07,6.0,5,Horror,,,,,,,
The Terror Stalkers,2015-11-13,0.0,0,Horror,,,,,,,
Some Stories Are Better Left Untold.,2015-10-19,4.8,76,Horror,,,,,,,
Alienween,2016-03-04,3.5,90,"Horror, Science Fiction",,,,,,,
The Picture in the House,2010-10-01,0.0,13,Horror,,,,,,,
The Music of Jo Hyeja,2012-10-13,0.0,21,Horror,,,,,,,
A Hole in the Ground,2018-09-01,5.6,15,"Horror, Mystery",,,,,,,
Kigai (Paranormal Town) Vol. 2,2008-06-30,0.0,65,"Horror, Science Fiction",,,,,,,
Kigai (Paranormal Town) Vol. 1,2008-01-30,0.0,65,"Horror, Science Fiction",,,,,,,
Zombiehagen,2014-11-14,6.3,24,"Action, Horror, Thriller, War",,,,,,,
Root of Darkness,2016-10-15,0.0,65,"Fantasy, Horror",,,,,,,
The Cruel Tale of the Medicine Man,2015-12-21,0.0,90,"Comedy, Fantasy, Horror",,,,,,,
Holgi,2000-02-27,8.0,0,Horror,,,,,,,
Boudoir,2014-11-27,0.0,10,Horror,,,,,,,
Florinda,1973-02-01,0.0,0,Horror,,,,,,,
3D Saamri,1985-01-01,0.0,102,"Fantasy, Horror, Music, Mystery, Romance",,,,,,,
Y2K: Shutdown Detected,1999-12-31,0.0,0,"Horror, Science Fiction",,,,,,,
Muñeca,2013-07-05,0.0,4,Horror,,,,,,,
Evil Heart,1985-01-10,0.0,35,"Drama, Horror",,,,,,,
If I Were 1000 Years Old,1983-01-14,0.0,90,"Fantasy, Horror, Mystery",,,,,,,
A Perfect Blue Sky,2016-12-31,0.0,35,"Drama, Horror",,,,,,,
Even Kids Started Small,2006-01-01,5.7,30,Horror,,,,,,,
L'Elue des Enfers,1985-01-10,0.0,36,Horror,,,,,,,
Les Proies du Mal,1982-02-10,0.0,172,Horror,,,,,,,
Last Halloween,2011-01-01,0.0,7,"Drama, Horror, Romance",,,,,,,
Hemophilia,1985-02-10,0.0,17,"Horror, Science Fiction",,,,,,,
Sinistre,1994-04-25,7.5,73,Horror,,,,,,,
Crimson Dance,2016-07-22,0.0,4,Horror,,,,,,,
Stabbed in the Face,2004-04-06,2.0,81,Horror,,,,,,,
Infame,2011-10-23,0.0,8,"Drama, Horror",,,,,,,
Óbito,2010-02-25,0.0,0,Horror,,,,,,,
Agón,2013-06-24,0.0,16,"Horror, Mystery",,,,,,,
Call to Forehead,2011-01-01,0.0,1,"Comedy, Horror, Thriller",,,,,,,
Video Tape Terror,2013-01-22,5.5,81,Horror,,,,,,,
Inicuo: The Brotherhood,2016-12-17,4.9,90,"Drama, Horror, Mystery, Thriller",,,,,,,
Tik-Tik,2016-05-31,0.0,3,Horror,,,,,,,
Thriller,2009-01-01,5.0,110,"Comedy, Horror",,,,,,,
Revestriction,1989-01-01,0.0,3,"Comedy, Horror, Thriller",,,,,,,
Graffiti,1989-01-01,0.0,2,"Comedy, Horror, Thriller",,,,,,,
The Elephant Graveyard,1989-01-01,0.0,4,"Comedy, Horror, Thriller",,,,,,,
Bottling,1989-01-01,0.0,4,"Comedy, Horror, Thriller",,,,,,,
Interrogation,1989-01-01,0.0,5,"Comedy, Horror, Thriller",,,,,,,
The Last Fly,1989-01-01,0.0,6,"Comedy, Horror, Thriller",,,,,,,
TV Buster,1989-01-01,0.0,8,"Comedy, Horror, Thriller",,,,,,,
Cyclops,1989-01-01,0.0,4,"Comedy, Horror, Thriller",,,,,,,
Physical Sculpture,1989-01-01,0.0,4,"Comedy, Horror, Thriller",,,,,,,
A Photograph,1977-03-22,0.0,72,"Drama, Horror",,,,,,,
Blood Orgy At Beaver Lake,2012-07-06,5.0,71,Horror,,,,,,,
Geist,2015-01-01,7.5,11,"Animation, Drama, Horror",,,,,,,
Charm,2002-01-25,0.0,70,Horror,,,,,,,
Tarot,2015-05-17,3.7,110,Horror,,,,,,,
Kampung Zombie,2015-03-19,0.0,81,Horror,,,,,,,
American Hell,2014-09-25,7.0,8,Horror,,,,,,,
Regissören,2011-12-21,3.3,0,Horror,,,,,,,
Jessika,2011-04-26,0.0,20,Horror,,,,,,,
The Curve,2004-01-01,0.0,6,"Horror, Thriller",,,,,,,
The Shrieking,2008-01-01,0.0,0,Horror,,,,,,,
Collinsville Two: Axes of Evil,2004-01-01,0.0,78,"Comedy, Horror",,,,,,,
The Cycle,2003-01-01,4.5,7,"Drama, Horror, Mystery, Thriller",,,,,,,
The Ditch,2008-04-07,0.0,5,"Drama, Horror",,,,,,,
Deadbox,2017-11-17,0.0,100,"Action, Horror, Mystery, Thriller",,,,,,,
T is for Tiles,2011-09-20,0.0,4,Horror,,,,,,,
A Long Journey Toward Death,1968-07-03,5.0,87,"Crime, Drama, Horror, Mystery",,,,,,,
City of the Dream Demons,2014-04-29,0.0,74,Horror,,,,,,,
Burn,2011-01-01,9.0,5,"Action, Crime, Horror, Thriller",,,,,,,
Nighty night,1986-02-08,0.0,75,Horror,,,,,,,
Mortified,2009-04-17,5.0,2,Horror,,,,,,,
The Suicide Tapes,2010-07-25,0.0,26,"Horror, Thriller",,,,,,,
Else,2007-03-01,0.0,18,"Drama, Horror, Romance, Thriller",,,,,,,
The Gate of the Hell,1978-08-05,6.0,76,Horror,,,,,,,
Cupcake: A Zombie Lesbian Musical,2011-12-09,0.0,18,"Comedy, Horror",,,,,,,
M is for Marble,2013-01-01,0.0,3,"Horror, Thriller",,,,,,,
M is for Messiah,2013-01-01,0.0,3,"Horror, Thriller",,,,,,,
The Waxing Moon,1976-01-01,0.0,96,Horror,,,,,,,
+Math,2015-10-23,0.0,13,Horror,,,,,,,
Play House,2012-07-21,7.7,9,"Drama, Horror, Thriller",,,,,,,
Happy Birthday to You!,2006-01-01,9.5,13,"Crime, Drama, Horror, Thriller",,,,,,,
Paisley,2014-08-01,0.0,11,Horror,,,,,,,
Testimony of the Unspeakable,2015-04-01,0.0,7,"Documentary, Horror",,,,,,,
Other,2012-07-27,7.0,14,"Drama, Horror, Science Fiction, Thriller",,,,,,,
Du blues dans la tête,1981-01-02,0.0,83,"Crime, Horror, Thriller",,,,,,,
Fathom,2013-01-01,5.0,8,Horror,,,,,,,
Nasciturus: Which Will Be Born,2015-07-28,2.0,90,Horror,,,,,,,
Creeporia,2014-01-01,0.0,0,"Comedy, Horror",,,,,,,
Manatsu Girl,1987-08-12,0.0,96,"Drama, Fantasy, Horror, Mystery, Science Fiction, Thriller",,,,,,,
The Other Side of the Witching Hour,2016-11-24,10.0,8,Horror,,,,,,,
Horror Icon,2016-08-28,0.5,60,"Documentary, Horror",,,,,,,
Salvation,2017-09-17,5.0,0,"Drama, Fantasy, Horror",,,,,,,
The Cabinet of Francis,2016-07-22,0.0,85,"Horror, Mystery, Thriller",,,,,,,
"Necropolis, Ashes to Ashes",2016-01-01,0.0,20,Horror,,,,,,,
Spooks A-Poppin',1992-01-01,0.0,0,"Documentary, Horror",,,,,,,
Deyyam,1996-06-01,7.3,86,Horror,,,,,,,
Portrait in Prussian Blue,1986-07-26,0.0,95,"Drama, Fantasy, Horror",,,,,,,
The Curse of Chopsticks,2016-06-17,0.0,87,"Horror, Thriller",,,,,,,
Is It You?,2013-02-01,0.0,10,"Horror, Thriller",,,,,,,
Loverboy,2012-03-17,1.0,93,"Horror, Thriller",,,,,,,
Angry,2010-12-01,0.0,85,"Action, Drama, Horror",,,,,,,
I Was a Teenage Mummy,1992-12-31,2.0,48,Horror,,,,,,,
Tear Us Apart,2020-12-01,4.0,81,"Horror, Thriller",,,,,,,
Chip & Bernie's Zomance,2015-10-17,0.0,70,"Adventure, Comedy, Horror",,,,,,,
Who's Afraid of Mr. Greedy,2011-07-05,0.0,5,"Animation, Horror",,,,,,,
Behind the Bush,2013-11-19,5.0,12,Horror,,,,,,,
Snuff: Diary of a Serial Killer,2016-12-12,0.0,0,Horror,,,,,,,
Undead Apocalypse,2012-07-01,2.0,83,Horror,,,,,,,
Dial D for Demons,2000-03-18,5.0,87,Horror,,,,,,,
Video Geisteskrank,2008-11-17,6.0,20,"Horror, Mystery",,,,,,,
Angel of Light,1986-06-15,0.0,47,"Drama, Horror, Thriller",,,,,,,
Julie Knew Her Killer,1998-01-01,0.0,1,"Drama, Horror",,,,,,,
"Electrical Substation, Stay Safe Stay Out",1989-01-01,0.0,1,"Drama, Horror",,,,,,,
Eight Clouds Rising,1997-10-25,5.0,60,"Adventure, Animation, History, Horror",,,,,,,
Merry Little Christmas,2010-05-06,4.5,20,Horror,,,,,,,
Pretty Body: Frankenstein's Love,1988-09-30,0.0,54,"Comedy, Horror, Romance, Science Fiction",,,,,,,
Almohadón de Plumas,1988-09-30,0.0,80,Horror,,,,,,,
Homicidal Maniac,2000-11-09,3.0,93,"Crime, Drama, Horror, Thriller",,,,,,,
Zoo School,2015-05-22,0.0,78,"Drama, Horror",,,,,,,
Aqualorius!,2009-07-16,6.0,12,Horror,,,,,,,
Onne,2006-03-17,0.0,95,Horror,,,,,,,
The Bite,1984-01-10,5.0,84,"Drama, Horror",,,,,,,
Bayam Oru Payanam,2016-08-26,5.0,127,"Horror, Thriller",,,,,,,
High School Spirits,1986-04-05,3.0,0,"Comedy, Horror",,,,,,,
Burp!,1986-09-30,0.0,11,"Comedy, Crime, Horror",,,,,,,
Dawn,1989-09-30,0.0,14,"Horror, Romance",,,,,,,
Kookie,2016-06-02,5.8,13,Horror,,,,,,,
Inside Scarlett,2016-04-21,6.2,89,"Comedy, Horror",,,,,,,
Innsmouth,2015-08-19,5.3,11,"Horror, Mystery",,,,,,,
Ghost Villa,2016-06-03,3.0,99,Horror,,,,,,,
Balloon,2017-12-29,7.4,146,"Horror, Thriller",,,,,,,
3Sum,2013-01-31,0.0,93,"Action, Drama, Horror, Thriller",,,,,,,
Look If You Dare,2016-07-19,0.0,4,Horror,,,,,,,
Three,2016-08-26,0.0,6,"Horror, Thriller",,,,,,,
Y te sacarán los ojos,2015-06-11,0.0,0,"Drama, Horror, Thriller",,,,,,,
Abro Ne Bayie 2,2008-01-01,0.0,88,Horror,,,,,,,
Wake Up to Kill 3,1990-01-01,4.3,83,"Action, Adventure, Comedy, Horror",,,,,,,
Seething,2013-05-14,0.0,59,Horror,,,,,,,
Riven,2015-09-25,0.0,9,Horror,,,,,,,
El Deseo,2015-02-02,0.0,11,"Drama, Horror, Thriller",,,,,,,
When Pen Ghost Meets Plate Ghost,2016-07-15,0.0,90,Horror,,,,,,,
When Susurrus Stirs,2016-09-02,0.0,10,Horror,,,,,,,
Biest,2014-04-12,0.0,75,"Horror, Mystery, Romance",,,,,,,
Moderation,2016-02-11,0.0,149,Horror,,,,,,,
The Ghosting,1991-11-01,0.0,110,Horror,,,,,,,
Black Dog,2006-11-27,0.0,14,"Drama, Horror",,,,,,,
Dense Fear,2003-01-01,0.0,51,Horror,,,,,,,
Jenny,2016-09-05,2.8,11,Horror,,,,,,,
Roohani Taaqat,1991-01-01,1.0,119,Horror,,,,,,,
Bhago Bhoot Aayaa,1985-06-21,0.0,126,"Comedy, Horror",,,,,,,
The Cutting Room Floor,2012-10-27,8.0,0,Horror,,,,,,,
Sanguivorous,2007-07-28,0.0,56,Horror,,,,,,,
Villemolle 81,2009-08-09,5.0,90,"Comedy, Horror, Music",,,,,,,
Flesh Area,2009-01-04,0.0,64,"Comedy, Horror",,,,,,,
Blue Moon,2015-11-15,10.0,12,"Comedy, Horror",,,,,,,
Burlap,2016-04-22,0.0,13,Horror,,,,,,,
Bleed the Night,2016-03-15,0.0,14,Horror,,,,,,,
Family Sins,1987-10-25,4.0,91,"Horror, Thriller",,,,,,,
Heavy Makeup,2016-11-10,0.5,110,"Crime, Drama, Horror, Mystery, Thriller",,,,,,,
Lasiurus,2016-04-12,4.0,10,Horror,,,,,,,
Losing Face,2016-07-31,0.0,5,"Drama, Horror, Science Fiction",,,,,,,
Chennai Koottam,2016-03-04,0.0,108,"Comedy, Horror",,,,,,,
The Scavengers,1987-01-10,0.0,1,"Documentary, Horror",,,,,,,
Total Detox,2011-01-28,3.5,97,Horror,,,,,,,
The Thing Inside,2016-10-22,0.0,12,"Horror, Thriller",,,,,,,
Thirst,2016-06-15,0.0,75,"Drama, Horror, Thriller",,,,,,,
Error in the Ménage,2014-02-23,4.0,0,"Comedy, Drama, Horror",,,,,,,
Bloodspray,2016-09-11,0.0,7,"Comedy, Horror, Music",,,,,,,
Urban Nightmare,2003-03-18,0.0,120,Horror,,,,,,,
All Killer,2016-08-15,0.0,19,"Comedy, Horror, Music",,,,,,,
The Man with the Giant Hat,1950-01-01,4.0,103,Horror,,,,,,,
Destination Nightmare,1958-03-08,6.0,100,"Fantasy, Horror",,,,,,,
Jack the Ripper,1958-03-08,6.0,75,"Fantasy, Horror",,,,,,,
Shock Cinema: Volume Three,1991-01-01,0.0,58,"Documentary, Horror",,,,,,,
Fortress of the Dead,1965-01-01,0.0,75,Horror,,,,,,,
Demented,1994-01-01,0.0,95,Horror,,,,,,,
Virgin Sacrifices,1996-01-01,0.0,80,Horror,,,,,,,
Demonatrix,2000-02-02,0.0,75,Horror,,,,,,,
Stella Buio,2012-01-01,0.0,16,Horror,,,,,,,
Virginia Obscura,2014-02-21,0.0,112,Horror,,,,,,,
G for Grandad,2014-10-02,0.0,4,Horror,,,,,,,
Cartoon Horrors!,2016-01-01,0.0,7,Horror,,,,,,,
A Noite do Vampiro,2006-06-06,5.0,6,"Animation, Comedy, Horror",,,,,,,
Deads,2014-03-14,0.0,6,"Comedy, Horror",,,,,,,
Macharrán,2016-06-29,0.0,0,"Drama, Horror",,,,,,,
Night Prowlers 2,1999-11-24,0.0,24,Horror,,,,,,,
Scientifically Perfect,1996-01-01,3.7,73,"Horror, Science Fiction",,,,,,,
The Twelfth Hour,2007-11-01,6.0,20,"Horror, Mystery",,,,,,,
The Vampyre by John W. Polidori: Images of a Nightmare,2007-06-22,0.0,24,Horror,,,,,,,
Deep Above,1994-01-01,0.0,90,"Fantasy, Horror, Mystery",,,,,,,
Teddy Scares,2006-06-28,0.0,7,"Animation, Comedy, Horror",,,,,,,
Escaping the Dead,2017-01-01,0.0,76,Horror,,,,,,,
Slaughter Night,1987-01-10,0.0,5,Horror,,,,,,,
Dangerous Stories,1989-07-08,0.0,105,"Crime, Horror, Science Fiction",,,,,,,
Fun N Games,2013-01-01,0.0,108,Horror,,,,,,,
Devil's Body,1987-03-25,0.0,45,"Horror, Science Fiction",,,,,,,
The Cabinet in the Woods,2016-09-18,5.0,5,"Comedy, Horror",,,,,,,
Bikini Mayhem,2015-06-05,2.3,78,"Horror, Thriller",,,,,,,
A Stranger Kind,2015-03-27,0.0,23,"Comedy, Horror",,,,,,,
Kadence,2016-01-12,0.0,23,"Drama, Horror",,,,,,,
Daerah Terlarang,2016-09-22,0.0,80,"Comedy, Horror",,,,,,,
The Crawling Brain,2002-01-01,0.0,0,"Horror, Science Fiction",,,,,,,
The Witch And The Cow,1991-01-10,4.0,2,"Animation, Comedy, Horror",,,,,,,
The Lost Tour,2015-10-10,0.0,0,Horror,,,,,,,
See you later Cowabunga: La maldición del cenachero diabólico!,2004-03-06,0.0,70,"Comedy, Horror",,,,,,,
Miss Strangelove,2013-01-06,3.0,90,"Horror, Music",,,,,,,
For Christ's Sake,2010-06-06,1.0,100,Horror,,,,,,,
The Screening,2007-01-01,0.0,0,Horror,,,,,,,
In the Woods,2005-05-06,0.0,0,Horror,,,,,,,
Neal,2011-03-11,0.0,4,"Comedy, Horror",,,,,,,
Too Focused,2012-08-15,0.0,25,Horror,,,,,,,
Breath of Hate,2011-06-10,0.0,0,"Drama, Horror, Romance",,,,,,,
Tortured Soul 3: The Willing Flesh,2004-01-01,10.0,73,Horror,,,,,,,
Tortured Soul 2,1994-01-01,10.0,0,Horror,,,,,,,
Tortured Soul,1992-01-01,10.0,0,Horror,,,,,,,
Ice Scream,1997-01-01,1.0,62,Horror,,,,,,,
Givertaker,2016-09-23,5.8,11,Horror,,,,,,,
Zone,2012-08-29,0.0,110,"Action, Horror, Mystery, Science Fiction",,,,,,,
Satanic Cults and Ritual Crime,1990-01-01,0.0,13,"Crime, Documentary, Horror",,,,,,,
Theater Dark Video Magazine,1996-01-01,0.0,60,"Documentary, Horror",,,,,,,
Psycho Sisters,1994-01-01,0.0,78,Horror,,,,,,,
The Landlady,2013-10-31,0.0,26,Horror,,,,,,,
Death by Love,1991-01-01,0.0,0,Horror,,,,,,,
Ο στραγγαλιστής της Συγγρού,1989-04-12,0.0,90,"Crime, Horror, Thriller",,,,,,,
Blood Room,2016-10-15,0.0,78,"Comedy, Horror",,,,,,,
Past and Present,2016-09-21,0.0,89,Horror,,,,,,,
Dug Up,2013-10-24,0.0,0,"Comedy, Horror",,,,,,,
X Game 2,2012-04-21,0.0,99,Horror,,,,,,,
"No. 32, B District",2011-07-03,3.8,87,"Drama, Horror, Thriller",,,,,,,
Hotel Hollywood,2010-01-01,0.0,120,Horror,,,,,,,
Help Me First,2016-09-23,0.0,10,Horror,,,,,,,
Alkarısı: Cinnet,2015-06-26,1.0,0,Horror,,,,,,,
M Is for Mime Time,2013-10-25,0.0,3,Horror,,,,,,,
Ootake Shinobu no Reikan Shoujo,1980-09-25,0.0,0,"Drama, Horror",,,,,,,
The Dweller,2016-05-01,0.0,6,Horror,,,,,,,
A Four Course Meal,2006-04-23,4.0,95,Horror,,,,,,,
Spook Train: Room One – Curtains,2017-07-27,6.5,8,"Animation, Comedy, Horror",,,,,,,
Hallucinative Comas,1991-03-01,0.0,47,"Comedy, Documentary, Horror, Science Fiction",,,,,,,
A Romantic Ghost Story,1988-07-30,5.0,82,Horror,,,,,,,
Trapped!,1994-01-01,0.0,90,"Horror, Thriller",,,,,,,
Halloween Horrors,1992-01-01,0.0,80,Horror,,,,,,,
Curse of the Swamp Creature,1993-01-01,0.0,90,Horror,,,,,,,
Psycho Vampire,1992-01-01,0.0,90,Horror,,,,,,,
Psycho Dance,1992-01-01,0.0,75,Horror,,,,,,,
The Vampire's Curse,1998-01-01,0.0,0,Horror,,,,,,,
The End of Mara,2016-06-02,0.0,15,Horror,,,,,,,
In a Lonely Place,2016-01-08,3.5,0,Horror,,,,,,,
Evil Dark,2014-10-31,0.0,0,Horror,,,,,,,
Night on Has Been Mountain,2010-01-01,10.0,45,"Comedy, Horror",,,,,,,
Shock Cinema: Volume Four,1991-01-01,0.0,57,"Documentary, Horror",,,,,,,
A House of Mad Souls,2003-01-01,2.0,83,Horror,,,,,,,
Violence in Cold Blood,1989-01-01,5.0,85,Horror,,,,,,,
Blood Dreams,1991-01-01,0.0,40,Horror,,,,,,,
Valerie,1992-01-01,1.0,0,Horror,,,,,,,
Yamamoto Eri becomes Recoverability Zero,2016-04-23,5.0,81,"Drama, Horror, Thriller",,,,,,,
The Cursed House,1987-01-01,5.0,120,"Horror, Thriller",,,,,,,
La venganza del silla de ruedas,1993-01-01,5.0,0,Horror,,,,,,,
The Man Who Returned From Death,1990-01-01,6.7,103,Horror,,,,,,,
Killer Mind,1987-01-01,5.0,77,Horror,,,,,,,
World of Awe and Dread,1974-05-17,0.0,0,Horror,,,,,,,
The Creeping Hand,1974-07-26,0.0,0,Horror,,,,,,,
At Lumaganap Ang Lagim,1975-11-21,0.0,0,Horror,,,,,,,
Nurse Jill,2016-10-11,0.0,96,"Drama, Horror, Thriller",,,,,,,
